table_name,column_name,data_type,total_rows,null_count,distinct_count,min_value,max_value
lead_logs,id,int64,8,0,8,1,8
lead_logs,lead_id,string,8,0,5,,
lead_logs,source_category,string,8,0,2,,
lead_logs,created_at,"datetime64[ns, UTC]",8,0,5,2024-01-31 08:53:22.403000+00:00,2024-05-13 06:38:58.322000+00:00
lead_logs,preferred_location,string,8,0,3,,
lead_logs,timezone_location,string,8,0,1,,
lead_logs,current_status,string,8,0,5,,
user_referrals,referral_at,"datetime64[ns, UTC]",46,0,44,2024-03-08 11:31:24+00:00,2024-05-24 04:57:33+00:00
user_referrals,referral_id,string,46,0,46,,
user_referrals,referee_id,string,46,3,37,,
user_referrals,referee_name,string,46,3,35,,
user_referrals,referee_phone,string,46,0,33,,
user_referrals,referral_reward_id,float64,46,38,3,1.0,3.0
user_referrals,referral_source,string,46,0,3,,
user_referrals,referrer_id,string,46,13,13,,
user_referrals,transaction_id,string,46,13,27,,
user_referrals,updated_at,"datetime64[ns, UTC]",46,0,40,2024-04-29 04:04:15+00:00,2024-05-24 04:57:33+00:00
user_referrals,user_referral_status_id,int64,46,0,3,1,3
user_referral_logs,id,int64,96,0,96,1,96
user_referral_logs,user_referral_id,string,96,0,78,,
user_referral_logs,source_transaction_id,string,96,79,17,,
user_referral_logs,created_at,"datetime64[ns, UTC]",96,0,96,2024-03-08 11:33:50+00:00,2024-07-10 08:51:11+00:00
user_referral_logs,is_reward_granted,boolean,96,0,2,False,True
user_logs,id,int64,29,0,29,1,29
user_logs,user_id,string,29,0,9,,
user_logs,name,string,29,0,7,,
user_logs,phone_number,string,29,0,9,,
user_logs,homeclub,string,29,0,6,,
user_logs,timezone_homeclub,string,29,0,2,,
user_logs,membership_expired_date,datetime64[ns],29,0,9,2024-03-31 00:00:00,2026-03-04 00:00:00
user_logs,is_deleted,boolean,29,0,2,False,True
user_referral_statuses,id,int64,3,0,3,1,3
user_referral_statuses,description,string,3,0,3,,
user_referral_statuses,created_at,"datetime64[ns, UTC]",3,0,2,2024-03-08 08:49:37+00:00,2024-03-08 10:07:10+00:00
referral_rewards,id,int64,3,0,3,1,3
referral_rewards,reward_value,float64,3,3,0,nan,nan
referral_rewards,created_at,"datetime64[ns, UTC]",3,0,3,2024-03-13 02:44:32+00:00,2024-03-13 02:45:15+00:00
referral_rewards,reward_type,int64,3,0,1,1,1
paid_transactions,transaction_id,string,14,0,14,,
paid_transactions,transaction_status,string,14,0,1,,
paid_transactions,transaction_at,"datetime64[ns, UTC]",14,0,14,2024-05-01 05:07:30.374000+00:00,2024-05-21 09:47:11.535000+00:00
paid_transactions,transaction_location,string,14,0,6,,
paid_transactions,timezone_transaction,string,14,0,2,,
paid_transactions,transaction_type,string,14,0,2,,
